lbl,dflt,au,ca,sg,uk
"confirm pwd to proceed","Confirm Password To Proceed","","","",""
"requisition rqrd","Requsition Req'd","","","",""
"history","History","","","",""
"quote notification txt","Quote Notification Text","","","",""
"primary","Primary","","","",""
"could not get tax info","Could not get detailed address info. Please manually select the tax rate","","","",""
"ok2use","Ok To Use","","","",""
"repairs done","Repairs Done","","","",""
"flag needs repair","Flag Needs Repair","","","",""
"on veh or eqp needs repair","Only vehicle / equipement inspection support needs repair options.","","","",""
"no repairs for insp","No repairs needed for this inspection.","","","",""
"confirm ok2use","Are you sure you want to unflag as Ok To Use?","","","",""
"confirm repairs done","Are you sure you want to unflag as Repairs Done?","","","",""
"unflag","Unflag","","","",""
"flagged by msg","Flagged by <NAME> on <DATE>","","","",""
"cust portal","Cust. Portal","","","",""
"qt sig msg","Quote Signature Message","","","",""
"ft sig msg","FT Signature Message","","","",""
"inv link msg","Invoice Link Message","","","",""
"codes with instructions","Codes (click to copy)","","","",""
"confirm restore dflt qt link","Restore default quote link settings?","","","",""
"confirm restore dflt ft link","Restore default field ticket link settings?","","","",""
"confirm restore dflt inv link","Restore default invoice link settings?","","","",""
"recieve alert","Receive Alert","","","",""
"ft sig link expires","FT Sig Link Expires In Hrs (Max of 166)","","","",""
"branch logo instructions","Logos should be small in size (less than 50 kb) in order to load quickly and should be approx. 40px by 40 px. Use either .jpg, .png, .bmp, or .gif format.","","","",""
"restore","Restore","","","",""
"approx char length","Approx. <COUNT> Chars.","","","",""
"qt sig dflt msg","Wahoo! Your quote from <BRANCHNAME> is ready. Just review and sign the quote by clicking the link below.It's that easy! If you have any questions, please contact your sales rep <SALESREPFULLNAME> @ <SALESREPCELL>or our office @ <BRANCHPHONE>. Thank you for choosing <BRANCHNAME>.\n\n<SIGLINK>","","","",""
"ft sig dflt msg","<TECHFIRSTNAME> with <BRANCHNAME> sent a link to review and sign for the work performed on <DATE>. If you have any questions, please contact our office at <BRANCHPHONE>.Thank you for choosing <BRANCHNAME>.\n\nThis link will expire in <EXPIRESIN>\n\n<SIGLINK>","","","",""
"inv sig dflt msg","Your invoice from <BRANCHNAME> is ready in the amount of <INVAMOUNT>. Click the link below to view the invoice. If you have any questions, please contact your sales rep <SALESREPFULLNAME>@ <SALESREPCELL> or our office @ <BRANCHPHONE>. Thank you for choosing <BRANCHNAME>.\n\n<INVLINK>","","","",""
"job and report options","Job & Report Options","","","",""
"purch type","Purch. Type","","","",""
"toll permit","Toll Permit","","","",""
"vehic gvw","GVW","","","",""
"veh no","Veh No.","","","",""
"vin","VIN","","","",""
"lic plate","Lic. Plate","","","",""
"dflt assignment","Default Assignment","","","",""
"define vehicle","Define Vehicle","","","",""
"nick name","Nick Name","","","",""
"make","Make","","","",""
"model","Model","","","",""
"last odom","Last Odom.","","","",""
"can have inventory","Can Have Inventory","","","",""
"engine","Engine","","","",""
"lic tax due","Lic. Tax Due","","","",""
"transmission","Transmission","","","",""
"fuel","Fuel","","","",""
"purch price","Purch. Price","","","",""
"purch date","Purch. Date","","","",""
"purch from","Purch. From","","","",""
"warranty exp","Warranty Exp.","","","",""
"job costing","Job Costing","","","",""
"find vehicle","Find Vehicle","","","",""
"per mile","Per Mile","","","",""
"per trav hour","Per Trav. Hour","","","",""
"per ft hour","Per FT Hour","","","",""
"must specify a branch","You must specify a lower(<LBLBRANCH>)","","","",""
"must specify veh number","You must specify a vehicle number.","","","",""
"confirm delete veh","Are you sure you want to delete this vehicle?","","","",""
"vehicle tracking","Vehicle Tracking","","","",""
"unit id","Unit ID","","","",""
"extra pay per hour","Extra Pay Per Hour","","","",""
"pay driver extra","Pay Driver Extra","","","",""
"unrate","Unrate","","","",""
"wo cannot exeed 24 hr","WOs cannot exeed 24 hr. If over 24 hours of work were completed, please create a second Work Order.","","","",""
"reports","Reports","","","",""
"ar","A/R","","","",""
"list management","List Management","","","",""
"tools","Tools","","","",""
"data utilities","Data Utilities","","","",""
"repeat work order","Repeat Work Order","","","",""
"login takes a license","Login (Takes a License)","","","",""
"ft just signed by","FT just signed by: <NAME>","","","",""
"select days to repeat wo","Select Days to Repeat W.O.","","","",""
"cod just paid","COD payment for: <AMT> received.","","","",""
"skip every","Skip Every","","","",""
"selected","Selected","","","",""
"cust flds","Cust. Flds.","","","",""
"applying update","Applying Update","","","",""
"reload custom flds","Reload Custom Flds.","","","",""
"translate","Translate","","","",""
"not available in free version","This feature is not available on free version","","","",""
"translating","Translating","","","",""
"invalid date","Invalid Date","","","",""
"paid versions only","Paid versions only","","","",""
"lite ver and above","Lite and above versions only","","","",""
"full version only","Pro Version Only","","","",""
"can only add 1 contact on free version, delete previous","You can only add 1 contact on the Free version. Do you want to delete the current contact (<NAME>)?","","","",""
"feature only avail in full version","This feature is only available in the Pro version.","","","",""
"cust sig link sent","Cust. Sig. Link Sent","","","",""
"text to translate","Text To Translate","","","",""
"copy to clipboard","Copy to clipboard","","","",""
"copied to clipboard","Copied to clipboard","","","",""
"must enter txt to translate","You must enter text to translate","","","",""
"repeat wo","Repeat W.O.","","","",""
"select days to repeat wo","Select Days To Repeat W.O.","","","",""
"dow","DOW","","","",""
"change all wo tech after date","Would you like to change all WOs after <DATE> to <TECH> as well?","","","",""
"tech not scheduled to work","Tech Not Scheduled To Work","","","",""
"conflicting job found","Conflicting Job Found","","","",""
"orig wo must be selected","This is the date of the originating work order and must be selected.","","","",""
"wo cannot be selected","This WO cannot be selected.\nReason: <REASON>\nWould you like to assign it anyway?","","","",""
"repeated wo message","<COUNT> Repeated Work Order(s) will be created when you click 'OK' on the 'Schedule Work Order' Form","","","",""
"must select lead tech","You must first select a lead tech","","","",""
"background","Background","","","",""
"save image","Save Image","","","",""
"get a new picture","Get a new picture","","","",""
"addl wo","Addl WO","","","",""
"data push","Data Push","","","",""
"quickbooks online","QuickBooks® Online","","","",""
"data push to","Data Push To <ACCTSYS>","","","",""
"back","Back","","","",""
"qbonline push instruct","This will guide you through pushing <APPNAME> data to Quickbooks\nSelect the lower(<LBLBRANCH>) and then click on 'Next' to continue.\n\n<span class="font-bold">NOTE: Make sure you are signed in to the correct QB Company in this browser for the <LBLBRANCH> you are pushing</span>","","","",""
"reset qb authentication","Reset QB Auth.","","","",""
"addl wo number greater than 0","Additional WO's must be greater than 0","","","",""
"select days to repeat errand","Select Days To Repeat Errand","","","",""
"start date must be before end date","Start Date must be before End Date","","","",""
"connection reset","Connection Reset","","","",""
"connecting to qb","Connecting to QuickBooks\nPlease Wait...\nNote: This may take a few minutes","","","",""
"addl wos","Addl't WO's","","","",""
"originating type","Originating <TYPE>","","","",""
"errands","Errands","","","",""
"send text","Send A Text","","","",""
"confirm delete errand","This will permanately delete the Clock In/Out record associated with this Errand.\n\nAre you sure you want to delete this Errand?","","","",""
"text message","Text Message","","","",""
"time associated with errand delete abort","There is time associated with this Errand. You must remove the time before you can delete this errand.","","","",""
"text to","To","","","",""
"errand id","Errand ID","","","",""
"sms","SMS","","","",""
"find errand","Find Errand","","","",""
"mms","MMS","","","",""
"send text as","Send Text As","","","",""
"text message sent","Text Message Sent!","","","",""
"must enter text message","You must enter text message body to send","","","",""
"new text message","New Text Message","","","",""
"must enter phone number","You must enter phone number to send text message","","","",""
"clear all","Clear All","","","",""
"random unsplash image","Random - Powered by Unsplash","","","",""
"sign in to qb online","Please Sign in to QuickBooks Online to authorize <APPNAME> to connect to QuickBooks.","","","",""
"confirm reset bg img","You currently have <TYPE> as your background. Are you sure you want to reset it?","","","",""
"additional","Additional","","","",""
"bg theme color","Theme Color","","","",""
"select user","Select User","","","",""
"est time","Est. Time","","","",""
"est dist","Est. Dist.","","","",""
"set export options","Set Export Options","","","",""
"push type","Push Type","","","",""
"push through date","Push Through Date","","","",""
"transaction date","Transaction Date","","","",""
"one sales line item","One Sales Line Item","","","",""
"gl line items","GL Line Items","","","",""
"push app data through","Push <APPNAME> Data Through","","","",""
"use app inv no in qb","Use <APPNAME> Inv. No. In QB","","","",""
"set nontaxable inv in qb as","Set Nontaxable Inv. In QB As","","","",""
"create with date of","Create With Date Of","","","",""
"data to push","Data To Push","","","",""
"export app invoice data","Export <APPNAME> Invoice Data","","","",""
"export app addl charges","Export <APPNAME> Add'l Charges","","","",""
"addl charges","Add'l Charges","","","",""
"export app payment data","Export <APPNAME> Payment Data","","","",""
"export app payment cc data","Export <APPNAME> CC Payment Data","","","",""
"cc payments","CC Payments","","","",""
"apply cenpoint payments from surplus","Apply <APPNAME> Payments From Surplus","","","",""
"export app refund data","Export <APPNAME> Refund Data","","","",""
"refunds","Refunds","","","",""
"refund","Refund","","","",""
"export app adjustment data","Export <APPNAME> Adjustment Data","","","",""
"adjustments","Adjustments","","","",""
"nothing to print","Nothing to print.","","","",""
"enter payments and adjustments","Enter Payments & Adjustments","","","",""
"initial setup","Initial Setup","","","",""
"dispatching","Dispatching","","","",""
"quoting","Quoting","","","",""
"add a quote","Add A Quote","","","",""
"digital signatures","Digital Signatures","","","",""
"price a field ticket","Price A Field Ticket","","","",""
"change search on next screen to find fts to price","Change the Search drop down on the next screen to find Field Tickets that need to be priced.","","","",""
"schedule sales rep to go on site","Schedule S.R. To Go On-Site","","","",""
"atp has been signed by","This Auth. To Proceed has already been signed by","","","",""
"summary","Summary","","","",""
"website","Website","","","",""
"click finish to export app data","Click 'Finish' to export <APPNAME> data.","","","",""
"cust sig link opened","Link Opened By Customer","","","",""
"finish","Finish","","","",""
"exclude http/https","exclude http/https","","","",""
"must select at least 1 item to export","You must select at least one item to export.","","","",""
"validating acctsys cust","Validating <ACCTSYS> Customers\nPlease Wait...","","","",""
"make checks payable to","Make Checks Payable To","","","",""
"datapush complete","Datapush Complete","","","",""
"datapush complete errors encountered","Datapush Complete (but errors were encountered)","","","",""
"had errors","had errors","","","",""
"min job charge","Minimum Job Charge","","","",""
"mobile settings","Mobile Settings","","","",""
"tech sched prev days","Tech Sched Prev Days","","","",""
"tech only see wo flagged sent to tech","Tech Only Sees WO's Flagged 'Sent To Tech'","","","",""
"allow tech modify ft time","Allow Tech To Modify FT Time Card Times","","","",""
"allow addl workers to complete safety","Allow Add'l Workers To Complete Safety Req.","","","",""
"allow tech to email ft","Allow Tech To Email FT","","","",""
"hide job entered from tech","Hide Who Entered Job From Tech","","","",""
"show uncompleted wos","Show Uncompleted WO's","","","",""
"gps bread crumb freq","GPS Bread Crumb Freq.","","","",""
"calc cod amount from wo tasks","Calc COD Amount From WO Tasks (Not Job)","","","",""
"allow tech to price cod fts","Allow Tech To Price COD FTs","","","",""
"1 sig when possible","Use 1 Sig. When Possible","","","",""
"job safety plan","Job Safety Plan","","","",""
"vehicle mileage rqrd","Vehicle Mileage","","","",""
"ft sig","FT Sig","","","",""
"req pics per ft","Req. Pics Per FT","","","",""
"job site inspections","Job Site Inspections","","","",""
"assigned by app","This Section Assigned By <APPNAME>","","","",""
"auto texting","Auto Texting","","","",""
"auto send text message when tech clicks","Automatically Send Text Messages To Customer When Tech Clicks","","","",""
"do not send text if eta is over","Don't send text if ETA is over","","","",""
"add to eta","Add To ETA","","","",""
"confirm restore dflt auto text","Restore default auto texting settings?","","","",""
"text default tech started msg","Great news from <BRANCHNAME>. Our tech is on their way and should arrive in approx. <ETA>. Reply 'Stop' to stop receiving texts.","","","",""
"text default tech arrived msg","Heads up! <TECHFIRSTNAME> is now on site. They can be reached at <TECHCELL> if you have any questions.","","","",""
"text default tech departed msg","We're Off! If you have any questions or concerns, please contact our office at <BRANCHPHONE>. Thank you for choosing <BRANCHNAME>!","","","",""
"0 = unlimited","(0=Unlimited)","","","",""
"0 = off","(0=Off)","","","",""
"cust availability","Cust. Availability","","","",""
"make all cust avail at this branch from","Make All Customers Available To This <LBLBRANCH> From","","","",""
"remove all cust from this branch","Remove All Customers From This <LBLBRANCH>","","","",""
"must specify branchname","You must first specify a lower(<LBLBRANCH>) name.","","","",""
"saving please wait","Saving. \nPlease wait...\n\nThis could tak a few minutes.","","","",""
"confirm remove all cust","Are you sure you want to remove all customers from this lower(<LBLBRANCH>)?","","","",""
"show est time on wo","Show Est. Time on WO","","","",""
"show quote gen notes on wo","Show Quote Gen. Notes on WO","","","",""
"print auth to proc with ft","Print Auth. To Proceed with FT","","","",""
"itemize adjustments","Itemize Adjustments (Task Level)","","","",""
"ft time","FT Time","","","",""
"auto make wo","Automatically Create WO for new Jobs (Quick Add Only)","","","",""
"auto set wo color to","Auto Set WO Color To","","","",""
"change color","Change Color","","","",""
"auto unreview job when wo created after","Auto Un-Review Job When WO Created After","","","",""
"job auto unreview hint","0 = Never Un-Review","","","",""
"cod barrage notification","Turn on Terms 'Barrage Notification'","","","",""
"default state","Default <LBLSTATE>","","","",""
"specify invoice date","Specify Invoice Date","","","",""
"tech rev allocation","Tech. Revenue Allocation","","","",""
"eeo","EEO","","","",""
"cert payroll","Cert. Payroll","","","",""
"new cust inv","New Cust. Inv","","","",""
"non perform","Non-Perform","","","",""
"statement","Statement","","","",""
"itemized adj rcpt","Itemized Adj Rcpt","","","",""
"hide emtpy qa on qt, ft, inv","Hide Empty Q/A on Qoute, FT, Inv","","","",""
"new cust dflt terms","New Cust. Default Terms","","","",""
"apply to all","Apply\n To All","","","",""
"confirm apply all to dflt inv","This will apply the default invoice of <NAME> to all customers (new and old). \n\n Changes will be applied immediately. Continue?","","","",""
"confirm apply all to dflt cert","This will apply the report of <NAME> to all active jobs. \n\n Changes will be applied immediately and cannot be undone. Continue?","","","",""
"yes apply","Yes, Apply","","","",""
"printed ft terms and conditions","Printed FT Terms and Conditions","","","",""
"also print on quote","Also Print on Quote","","","",""
"message printed on inv and ft","Message Printed on Invoices and Field Tickets","","","",""
"schedule set msg","Schedule Set Message","","","",""
"confirm restore dflt sched msg","Restore default schedule set message?","","","",""
"sched set dflt msg","Great news from <BRANCHNAME>. We have you on the schedule for <DATE>. We are estimating that <TECHFIRSTNAME> will be on site around <STARTTIME>. If you have any questions or need to reschedule, please contact our office at <BRANCHPHONE>.","","","",""
"job custom fields","Job Custom Fields","","","",""
"wo custom fields","Work Order Custom Fields","","","",""
"status updates","Status Updates","","","",""
"pick","pick","","","",""
"links","Links","","","",""
"hide all","Hide All","","","",""
"show all","Show All","","","",""
"show onsite only","Show Onsite Only","","","",""
"show travel only","Show Travel To Job Only","","","",""
"1 per job","1 Per Job","","","",""
"1 per ft","1 Per FT","","","",""
"1 per day","1 Per Day","","","",""
"1 per week","1 Per Week","","","",""
"every day","Every Day","","","",""
"every week","Every Week","","","",""
"every 2 days","Every 2 Days","","","",""
"1 per job per lead","1 Per Job per Lead","","","",""
"1 per job per lead and addl","1 Per Job per Lead & All Add'l","","","",""
"1 per ft per lead","1 Per FT per Lead","","","",""
"1 per ft per lead and addl","1 Per FT per Lead & All Add'l","","","",""
"no allocation","No Allocation","","","",""
"hourly by inv","Hourly By Inv","","","",""
"by ft","By FT","","","",""
"all techs equal","All Techs Equal","","","",""
"stored rate for addlt workers","Stored Rate for Addtl Workers","","","",""
"by job","By Job","","","",""
"validating required line items in acctsys","Validating Required Line Items In <ACCTSYS>.\nPlease Wait...","","","",""
"creating acctsys invoices","Creating <ACCTSYS> Invoices\n<CNT> of <TOT>\nPlease Wait...","","","",""
"sales rep scheduling","Sales Rep Scheduling","","","",""
"cannot open wo until day of","Vehicle inspection(s) detected. You cannot open a WO until the day of (or within a few hours for night work) to ensure completion of the vehicle inspection.\n\nPlease use 'Load My Vehicle' to see tasks / notes for the upcoming Work Orders.","","","",""
"view (hide tabs)","View (Hide Tab Content)","","","",""
"number must be above","Number must be above <NUMBER>","","","",""
"turn on quick start instruc","To turn Quick Start back on, go to 'Menu' > 'Settings'","","","",""
"number must be below","Number must be below <NUMBER>","","","",""
"view log","View Log","","","",""
"creating acctsys addl","Creating <ACCTSYS> Addt'l Charges\n<CNT> of <TOT>\nPlease Wait...","","","",""
"data push report","Data Push Report","","","",""
"creating acctsys pmt","Creating <ACCTSYS> Payments\n<CNT> of <TOT>\nPlease Wait...","","","",""
"creating acctsys pmt cc","Creating <ACCTSYS> CC Payments\n<CNT> of <TOT>\nPlease Wait...","","","",""
"creating acctsys adj","Creating <ACCTSYS> Adjustments\n<CNT> of <TOT>\nPlease Wait...","","","",""
"creating acctsys refund","Creating <ACCTSYS> Refunds\n<CNT> of <TOT>\nPlease Wait...","","","",""
"report parameters","Report Parameters","","","",""
"auth to proc sig","Auth. To Proceed Signature","","","",""
"more info","More Info","","","",""
"save to proceed msg","This feature requires data to be saved before continuing. If you proceed, all data will be saved.","","","",""
"save to proceed","This will save all your changes before proceeding. Are you sure you want to continue?","","","",""
"do not remind me again","Don't remind me again","","","",""
"acct push info","This will display the DataPush log (integration with your accounting system) for the selected date range.","","","",""
"aging link no invoices","No Outstanding Invoices. Thank you.","","","",""
"save and proceed","Save & Proceed","","","",""
"accounting system","Accounting System","","","",""
"confirm save","Confirm Save","","","",""
"show detail on report","Show Details on Report","","","",""
"tip","Tip","","","",""
"push id","Push ID","","","",""
"tran type","Tran. Type","","","",""
"tran qty","Tran. Qty","","","",""
"ref type","Ref. Type","","","",""
"pushed by","Pushed By","","","",""
"before tax","Before Tax","","","",""
"delete push","Delete Push <PUSHID>","","","",""
"confirm delete push","Deleting a push cannot be undone.\n\nOnly preceed if you wish to permanently delete the highlight push.","","","",""
"delete push important message","IMPORTANT!\n\nYou must manually delete the push in your accounting system. Failure to manually delete the push will result in <APPNAME> being out of balance with your accounting system!\n\nPlease don't forget.","","","",""
"info","Info","","","",""
"finalized inv","<Finalized Inv.","","","",""
"quickbooks","QuickBooks®","","","",""
"dynamics gp","Dynamics GP","","","",""
"intacct","Intacct","","","",""
"sage 50 canadian","Sage 50 - Canadian","","","",""
"manual journal entries","Manual Journal Entries","","","",""
"ccg systems","CCG Systems","","","",""
"atp changed and needs to refresh","The Authorization To Proceed has been changed since you loaded this screen. Click 'OK' to refresh and review the new document before signing.","","","",""
"confirm del job","Are you sure you want to delete job: <JOBNAME>?","","","",""
"view deleted","View Deleted","","","",""
"atp changes not saved until send link or get sig","Changes are not saved. Re-send the link or get a signature on this device to save changes.","","","",""
"job has been deleted","Job: <JOBSID> has been deleted.","","","",""
"job statuses","Job Statuses","","","",""
"manage job statuses","Manage Job Statuses","","","",""
"defined job statuses","Defined Job Statuses","","","",""
"cannot delete required status","You cannot delete a required status.","","","",""
"confirm del job status","Are you sure you want to delete job status: <NAME> ?","","","",""
"manage job status","Manage Job Status","","","",""
"status name","Status Name","","","",""
"show jobs with this status on scheduler","Show Jobs With This Status On Scheduler In Unassigned & Incomplete","","","",""
"auto inactivate job when status is selected","Automatically Inactivate The Job When This Status Is Selected","","","",""
"status means job was cancelled","This Status Means The Job Was Cancelled","","","",""
"status means job was deleted","This Status Means The Job Was Deleted","","","",""
"use status when creating a new job","Use This Status When Creating A New Job","","","",""
"use status when converting quote to job","Use This Status When Converting Quote To Job","","","",""
"use status when converting recurring job to job","Use This Status When Converting Recurring Job To Job","","","",""
"job categories","Job Categories","","","",""
"manage job categories","Manage Job Categories","","","",""
"defined job categories","Defined Job Categories","","","",""
"manage job category","Manage Job Category","","","",""
"default for all new jobs","Default For All New Jobs","","","",""
"default for all converted quotes","Default For All Converted Quotes","","","",""
"confirm del job category","Are you sure you want to delete job category: <NAME> ?","","","",""
"quote dflt","Quote Dflt","","","",""
"view data push","View Data Push","","","",""
"paste lat long","Paste Lat, Long","","","",""
"paste","Paste","","","",""
"lat long not found in clipboard","Lat & Long not found in clipboard. Please copy lat / long and try again","","","",""
"copy lat long","Copy Lat, Long","","","",""
"set datapush switch over date","Set <APPNAME>'s DataPush Switch Over Date","","","",""
"switch over instructions","<span style="font-size:17px;">Important - Please Read</span><br /><br />This one-time utility should be used BEFORE your first <APPNAME> DataPush.<br /><br />In order to avoid duplicate data in your accounting software, you must specify a "switch over" date. After this date, invoices should only be entered in <APPNAME> (not duplicte entered in your accounting software).<br /><br />After the "switch over" date, use <APPNAME>'s DataPush feature to automatically push invoices and payments directly into approved accounting systems and never dual enter invoices or payments again!","","","",""
"switch over date","Switch Over Date","","","",""
"switch over date note 1","To Push All Existing <APPNAME> Invoices, Set The Switch Over Date To 01/01/2000.","","","",""
"switch over date note 2","All Invoices Before The "Switch Over" Date Will NOT Be Pushed To Your Accounting Software To Avoid Duplicates!","","","",""
"switch over date note 3","All Payments Received For Invoices Not Pushed To Your Accounting Software Will Need To Be Entered In Both <APPNAME> *AND* Your Accounting Software.","","","",""
"read and understand instructions","I have read and understand these instructions.","","","",""
"confirm read switch over instructions","Please confirm you have read and understand the switch over instructions.","","","",""
"must set switch over date","You must select a switch over date","","","",""
"switch over date cannot be in future","Switch Over Date Cannot Be In The Future.","","","",""
"verify switch over date","Verify Date!\n\nIs <DATE> Correct?\n\nNOTE: THIS CANNOT BE UNDONE!","","","",""
"switch over date has not been set","A switch over date has not been set for this lower(<LBLBRANCH>). This is required. Would you like to set the switch over date now?","","","",""
"set switch over date","Set Switch Over Date","","","",""
"qbonline get cust instruct","This will pull a list of customers from QuickBooks Online and allow you to specify which customers to import into <APPNAME>.\nSelect the lower(<LBLBRANCH>) to import customers into, decide if you want to keep or delete existing customer in <APPNAME>, and then click on 'Next' to continue.","","","",""
"delete all app custs and replace them","Delete ALL <APPNAME> customers for the selected lower(<LBLBRANCH>) and replace them with customers from <ACCTSYS>","","","",""
"keep existing app cust and add from","Keep existing <APPNAME> customers, just add customers from <ACCTSYS>","","","",""
"querying quickbooks","Querying <ACCTSYS>\nThis make take several minutes with no progress indicator\nPlease Wait...","","","",""
"select cust to import","Select Customers To Import","","","",""
"no customers to import","No customers to import.","","","",""
"must select at least 1 cust to import","You must select at least 1 customer to import.","","","",""
"are you sure you want to delete all app cust and replace with","Are you sure you wish to delete ALL current <APPNAME> customers for the selected lower(<LBLBRANCH>) and replace them with customers from <ACCTSYS>?","","","",""
"purging existing customers","Purging Existing Customers\nPlease Wait...","","","",""
"new notification","New Notification","","","",""
"manual journal entry","Manual Journal Entry","","","",""
"send push notification","Send a Push Notification","","","",""
"manpush instruct","This will guide you through pushing <APPNAME> data to manual journal entries\n\nNOTE: This does NOT actually push any data to your accounting system, but provides numbers for manual journal entries. \n\nSelect the lower(<LBLBRANCH>) and then click on 'Next' to continue.","","","",""
"notification message","Notification Message","","","",""
"create fileext output file","Create .<EXT> output file","","","",""
"push notif dialog","The dialog you are about to see is to enable push notifications from <APPNAME>. This includes things such as new Work Orders and Reschedule Notifications. Please Allow","","","",""
"strongly recommended to print report cant print later","It is strongly recommended to print the following report. You will not be able to reprint it later.","","","",""
"failed to initialize push notif","Failed to initialize push notification messaging. You will not recieve notifications.","","","",""
"everything is already geo coded","Just checked and everything is already geo coded. Nice!","","","",""
"confirm disable push notif","You cannot recieve notifications such as new Work Orders or Reschedule Notifications if you do not allow this service. Do you want to continue?","","","",""
"done geo coded results","Done\n\nGeo Coeded: <CODED>\nSkipped: <SKIPPED>","","","",""
"push notif enabled","Push Notifications Enabled","","","",""
"geo code customers","Geo Code Customers","","","",""
"push notif disabled","Push Notifications Disabled","","","",""
"geo bldr instruct","This utility will geo code customers. Customers must be active and have a valid address in order to be geo coded. This utility will geo code up to <BLOCKSIZE> customers at a time.","","","",""
"failed to save notif token","Failed to save out Notification Token. You will NOT recieve Notifications from <APPNAME>.","","","",""
"go","Go","","","",""
"failed to delete notif token","Failed to delete Notification Token. You may recieve unwanted Notifications from <APPNAME>.","","","",""
"geo coding please wait","Geo Coding\nPlease Wait...","","","",""
"must select at least 1 user","You must select at least 1 user","","","",""
"creating manual journal entries","Creating Manual Journal Entries\nPlease Wait...","","","",""
"push enabled","Push Enabled","","","",""
"ref","Ref","","","",""
"push disabled msg","User is not configured to accept push notifications! Have user re-sign in on the mobile app.","","","",""
"reference","Refernce","","","",""
"confirm send tech sched set push","Send Push Notification to all Techs for lower(<LBLBRANCH>) <BRANCH> and flag WOs as sent to tech?","","","",""
"more","More","","","",""
"import from","Import From <SOFTWARE>","","","",""
"csv file",".csv File","","","",""
"only available on desktop","This feature is only available on the desktop app (Pro version only)","","","",""
"qbonline get inv instruct","This will pull a list of invoices from QuickBooks Online and allow you to specify which invoices to import into <APPNAME>.\nSelect the lower(<LBLBRANCH>) to import invoices into, decide if you want to keep or delete existing invoices in <APPNAME>, and then click on 'Next' to continue.","","","",""
"delete all app inv and replace them","Delete ALL <APPNAME> invoices for the selected lower(<LBLBRANCH>) and replace them with invoices from <ACCTSYS>","","","",""
"keep existing app inv and add from","Keep existing <APPNAME> invoices, just add invoices from <ACCTSYS>","","","",""
"no invoices to import","No invoices to import.","","","",""
"must select at least 1 inv to import","You must select at least 1 invoice to import.","","","",""
"are you sure you want to delete all app inv and replace with","Are you sure you wish to delete ALL current <APPNAME> invoices for the selected lower(<LBLBRANCH>) and replace them with invoices from <ACCTSYS>?\n\nInvoices with a payment will NOT be deleted.","","","",""
"select inv to import","Select Invoices To Import","","","",""
"view skipped inv","View Skipped \n Inv","","","",""
"importing inv please wait","Importing Invoices, Please Wait","","","",""
"imported x inv","Successfully imported <CNT> invoices.","","","",""
"purging existing invoices","Purging Existing Invoices\nPlease Wait...","","","",""
"switch","Switch","","","",""
"switching merchants will unlink current merchant account","Switching Merchants will unlink your current merchant account and you will have to re-link your account if you switch back. Are you sure you want to switch?\n\nNOTE: You will lose all cards on file by switching merchants as they are stored on the merchant side.","","","",""
"card number","Card Number","","","",""
"expiration","Expiration","","","",""
"must enter expiration date","You must enter the expiration date.","","","",""
"must enter cvv","You must enter the CVV.","","","",""
"must enter zip","You must enter the billing <LBLZIP> code.","","","",""
"card charged but failed to record","<span class="font-bold text-red">**Your card was charged but an error occurred while saving record of the payment in our system**</span>\n\n<span class="text-red">YOU MUST</span> contact <APPNAME> support to get your payment manually entered.\n\nPlease have the payment id ready when you call and error message: <ERRORMSG>\npaymentId: <PMTID>\n\n<APPNAME> Support:\n 	 Call (Best Option): <span class="font-bold"><SUPPORTNO></span> (8am - 5pm MDT, Mon - Fri)\n 	 Email (last resort): <SUPPORTEMAIL>","","","",""
"tax rates","Tax Rates","","","",""
"ft is already invoiced","This field ticket is already invoiced (see invoice: <INVOICEID>).","","","",""
"manage tax regions","Manage Tax Regions","","","",""
"all times must be set before marking ft ready to invoice","Start/Arrived/Departed/Completed Times must be populated before marking this field ticket as ready for invoicing","","","",""
"municipality","Municipality","","","",""
"ft created by tech but not returned yet mark as returned to continue","This field ticket was created by the tech but has not be marked as returned / submitted. Please mark as returned / submitted.","","","",""
"defined tax regions","Defined Tax Regions","","","",""
"cannot add task once ft is invoiced","You cannot add a task once the Field Ticket is invoiced.","","","",""
"county","<LBLCOUNTY>","","","",""
"ft is invoiced and task is t&m","This field ticket has already been invoiced and this task is flagged as T&M. Are you sure you want to change the time on this task?\n\nNOTE: If you proceed, this task will no longer be flagged as T&M so that the invoice price doesn't change.","","","",""
"confirm delete tax areas","Are you sure you want to delete this tax region?","","","",""
"change time","Change Time","","","",""
"manage tax rate","Manage Tax Rate","","","",""
"task is invoiced","Task is invoiced","","","",""
"old id","Old ID","","","",""
"cannot del task once ft is invoiced","You cannot delete a task once the Field Ticket is invoiced.","","","",""
"manage tax rate tip","Tip: Leave lower(<LBLCOUNTY>) and/or municipality blank for all undefined within the state","","","",""
"delete invoice","Delete Invoice","","","",""
"rate history","Rate History","","","",""
"cannot delete inv with payments","Invoice: <INVOICEID> has had payments applied. You cannot delete an invoice once payments have been taken.","","","",""
"effective","Effective","","","",""
"confirm del inv","Are you sure you want to delete invoice: <INVOICEID>?\n\nThis cannot be undone. Only proceed if you want to permanently delete this invoice.","","","",""
"rate","Rate","","","",""
"make payment","Make Payment","","","",""
"state cannot be blank","State cannot be blank","","","",""
"invoice is already paid in full","Invoice is already paid in full","","","",""
