lbl,dflt,la
"0 = no max","0 = Núm. Max",""
"(0 = no max)","(0 = Núm. Max)",""
"copy auth from branch","Copiar aut. \nde la <LBLBRANCH>...",""
"copy","Copiar",""
"only copy merchant auth if share same bank account","Sólo debe copiar la autorización si esta lower(<LBLBRANCH>) comparte la misma cuenta bancaria que la lower(<LBLBRANCH>) <APPNAME> ya autorizada.\n\nDe lo contrario, por favor cree / autorice una cuenta <MERCHANT> diferente para que los pagos vayan a la cuenta bancaria correcta","Solo debe copiar la autorización si esta lower(<LBLBRANCH>) comparte la misma cuenta bancaria que la lower(<LBLBRANCH>) <APPNAME> ya autorizada.\n\nDe lo contrario, cree / autorice una cuenta <MERCHANT> diferente para que los pagos vayan a la cuenta bancaria correcta"
"reset merchant auth","¿Está seguro de que desea restablecer la integración <MERCHANT>?",""
"understand a fee will be added to charge","Entiendo que a este cargo se añadirá un <DESC> de <FEEAMT>.","Entiendo que a este cargo se agregará un <DESC> de <FEEAMT>."
"optionally add fee to charge","Añada un <DESC> de <FEEAMT> a este cargo","Agregue un <DESC> de <FEEAMT> a este cargo"
"payment amount","Importe del pago",""
"submit payment","Enviar pago",""
"must check before submit pmt","Debe marcar "<CHECKLBL>" antes de poder enviar este pago",""
"save pmt method for future payments","Guardar para uso futuro",""
"create contact from cust","Crear contacto del cliente",""
"printed task notes","Notas de tarea impresas",""
"site contact is job only","<NAME> es sólo un contacto de trabajo y no puede establecerse como ordenado por.","<NAME> es solo un contacto de trabajo y no se puede establecer como ordenado por."
"no ordered by","Ordenar por contacto no está establecido. Por favor, seleccione "ordenado por" e inténtelo de nuevo.","Ordenar por contacto no está establecido. Seleccione "ordenado por" e inténtelo de nuevo."
"no task assigned hours","No se han asignado horas a la tarea. Por favor, asigne horas e inténtelo de nuevo.","No se han asignado horas a la tarea. Asigne horas e inténtelo de nuevo."
"invalid contact type","Tipo de contacto no válido",""
"invalid branch cust","Este trabajo está especificado como un trabajo de <BRANCH>, sin embargo, el cliente seleccionado no está disponible para la lower(<LBLBRANCH>) de <BRANCH>. Cliente seleccionado no válido.",""
"sel new cust","Seleccionar cliente nuevo",""
"change branch","Cambiar de <LBLBRANCH>",""
"change cust","Cambiar cliente",""
"findbldrbrch info","Este cliente está disponible en más de una lower(<LBLBRANCH>). Por favor, seleccione la lower(<LBLBRANCH>) para este trabajo.","Este cliente está disponible en más de una lower(<LBLBRANCH>). Seleccione la lower(<LBLBRANCH>) para este trabajo."
"branches avail to cust","<LBLBRANCHES> a disposición del cliente",""
"enter new payment method","Introducir nuevo método de pago",""
"must select a payment method","Debe seleccionar un método de pago",""
"sel cust branch","Seleccionar la <LBLBRANCH> del cliente",""
"pay now","Pagar ahora",""
"electronic funds transfer","Transferencia electrónica de fondos (TEF)",""
"insp id","Insp. ID",""
"no redirect url found","No se ha encontrado ninguna url de redirección",""
"invalid credentials","Credenciales no válidas",""
"sign in to continue","Iniciar sesión para continuar",""
"modify insp","Modificar la inspección",""
"invoice cannot be below 0 change adjustment","Esta factura tiene un precio inferior a $0,00 (probablemente debido a un ajuste en una partida de la forma).\n\nLas facturas no pueden ser negativas. Por favor, elimine/cambie el ajuste e inténtelo de nuevo.","Esta factura tiene un precio inferior a $0,00 (probablemente debido a un ajuste en una partida del formulario).\n\nLas facturas no pueden ser negativas. Elimine/cambie el ajuste e inténtelo de nuevo."
"current reading","Lectura actual",""
"drag files to card","Arrastre y suelte archivos en cualquier lugar de la tarjeta para añadirlos","Arrastre y suelte archivos en cualquier lugar de la tarjeta para agregarlos"
"veh/equip","Veh/Equipo",""
"odo/eng hrs","Odómetro/Motor hrs.","Cuentakilometros/Motor hrs."
"tech sigs","Firmas de técnicos",""
"cust sigs","Firmas de cliente",""
"other sigs","Otras firmas",""
"pic count","Foto cuenta",""
"modify","Modificar",""
"insp not on ft","Esta inspección no pertenece a una forma","Esta inspección no pertenece a un formulario"
"insp odo eng hour change","Sólo la inspección del vehículo/equipo admite lectura de horas del odómetro/motor.","Solo la inspección del vehículo/equipo admite lectura de horas del cuentakilometros/motor."
"job reports","Informes de trabajo",""
"inspection copied","Inspección copiada",""
"import cust from qb online","Importar clientes desde QuickBooks® Online",""
"import inv from qb online","Importar Facturas desde QuickBooks® Online",""
"print with inv","Imprimir con factura",""
"must select equip","Debe seleccionar un equipo.",""
"load files","Cargar archivo(s) / imagen(es)","Cargar archivo(s) / Imagen(es)"
"sign out have pending save warning","Tiene <CNT> artículos sin guardar. Si cierra la sesión, se perderán.","Aún tiene <CNT> artículos por guardar. Si cierra sesión, se perderán."
"doc info","Información del documento",""
"save now","Guardar ahora","Ahorrar ahora"
"hide from techs","Ocultar de los técnicos",""
"files to load","Archivos para cargar",""
"drag files here","Arrastrar archivo(s) aquí",""
"must give doc descript","Debe añadir una descripción a los documentos (por ejemplo, "Contrato inicial", etc.)","Debe dar una descripción de los documentos (por ejemplo, "Contrato inicial", etc.)"
"must specify cat","Debe especificar una categoría.",""
"must specify file to import","Debe especificar al menos un archivo para importar.",""
"must rename file name","Los nombres de archivo (incluida la extensión) no pueden tener más de <MAXFILELENGTH> caracteres.\nPor favor, cambie el nombre del archivo: <NAME> e inténtelo de nuevo.",""
"file already exists on server","El archivo <NAME> ya existe en el servidor. ¿Desea reemplazarlo?\nNOTA: Esto NO SE PUEDE deshacer","El archivo <NAME> ya existe en el servidor. ¿Desea reemplazarlo?\n NOTA: Esto NO SE PUEDE deshacer"
"replace","Sustituir","Reemplazar"
"file already added","Archivo ya añadido a la lista de importación.","Archivo ya agregado a la lista de importación."
"multi select","Seleccionar varios",""
"must select docs to download","Seleccione los documentos que desea descargar",""
"delete docs confirm","¿Está seguro de que desea eliminar todos los documentos seleccionados?",""
"delete doc confirm","¿Está seguro de que desea eliminar este documento?",""
"cannot delete docs","No dispone de los permisos adecuados para eliminar documentos. Póngase en contacto con su oficina.",""
"corrupted file","Archivo dañado",""
"invalid file type","Archivo: <NAME>\nError: Tipo de archivo no válido",""
"unable to edit image","La imagen no se guardó localmente, por lo que no podrá editarse cuando esté conectado. Por favor, inténtelo de nuevo cuando esté conectado a la red.","La imagen no se guardó localmente, por lo cual no puede editarse cuando esté conectado. Por favor, inténtelo de nuevo cuando esté conectado a Internet."
"drop files here or click","Soltar los archivos aquí o <u>haga clic aquí</u> para cargarlos.","Coloque los archivos aquí o <u>haga clic aquí</u> para cargarlos."
"release file to add","Liberar archivo(s) para cargar",""
"errand info","Información del encargo","Información de la tarea"
"show job cust etc","Mostrar trabajo, cliente, etc.",""
"address notes","Notas de la dirección","Notas de dirección"
"cust qt alert","¡Recuerde!\n\n<MSG>",""
"notes from tech","Notas de los técnicos",""
"no lunch brk","No hay pausa para comer","No hay hora de almuerzo"
"time card approved entire errand","Tarjeta de tiempo aprobada (Encargo completado)","Tarjeta de tiempo aprobada (Tarea completa)"
"actual lead tech","Actual (Técnico principal)",""
"repeat errand","Repetir la tarea",""
"wo id","ID de la OT","Identificación de OT"
"find job wo","Buscar la OT del trabajo","Buscar OT del trabajo"
"none before today","Ninguno antes de hoy",""
"er","Encargo","Tarea"
"new errand","Encargo nuevo","Nueva tarea"
"restore defaults","Restaurar los valores por defecto","Restaurar valores predeterminados"
"same as wo","Igual que la OT",""
"show tech availability","Mostrar disponibilidad técnica",""
"invalid params passed","Parámetros no válidos transmitidos","Parámetros no válidos pasados"
"must set a scheddt","Debe fijar una fecha programada.",""
"must set a schedtime","Debe fijar una hora programada.",""
"must set an estimated duration","Debe fijar una duración estimada.",""
"legend","Leyenda",""
"show insp needing repairs","Solo mostrar las inspecciones que necesitan reparaciones","Solo se muestran las inspecciones que necesitan reparaciones"
"needs repair","Necesita\nreparación",""
"misc","Varios",""
"requires po","Requiere orden de compra",""
"3rd party id","Identificación de terceros",""
"statement link","Enlace del estado de cuenta",""
"reset statement link","Restablecer el enlace del estado de cuenta (Invalida enlace(s) anterior(es))","Restablecer enlace de declaración (Esto invalida el/los enlace(s) anterior(es))"
"email statement link","Enviar el enlace del estado de cuenta por correo electrónico",""
"confirm statement link reset","¿Está seguro de que desea restablecer el enlace del estado de cuenta? Una vez que lo haga, tendrá que enviar un nuevo enlace al cliente.","¿Está seguro de que desea restablecer el enlace del estado de cuenta?  Si lo hace, tendrá que enviar al cliente un nuevo enlace."
"bldr not set to accept links","El cliente está marcado para no aceptar enlaces. Por favor, en su lugar, envíe una copia en PDF (¿porque los archivos están de alguna manera exentos de virus? ;) )","El cliente seleccionó la opción de no aceptar enlaces. Por favor, envíe una copia en PDF  (¿será porque los archivos están de alguna manera exentos de virus? ;) )"
"send link anyway","Enviar enlace de todas formas","Enviar enlace de todos modos"
"do not send links","No enviar enlaces",""
"cust type","Tipo de cliente",""
"tax exempt","Exento de impuestos",""
"tax no","Sin impuesto","No fiscal"
"notify on new quotes","Notificar nuevas cotizaciones",""
"global and local blacklist","Lista negra \n a nivel global y local",""
"local whitelist","Tipo de cliente",""
"bl terms of use","La funcionalidad de lista negra / lista blanca le permite llevar un registro de <b>clientes con los que ya no desea hacer negocios.</b>La información limitada sobre los clientes que usted elija incluir en la lista negra puede estar disponible para otras empresas que utilicen <APPNAME>. Cualquier uso fuera de las siguientes razones es una violación de uso, lo cual puede provocar que su empresa enfrente una o más de las siguientes: multas, pagos, terminación de sus licencias <APPNAME> y acciones legales.\n\nEl uso aceptable de la lista negra es solo por las siguientes razones:\n\n• Falta de pago\n• Actividades poco éticas / ilegales\n• Condiciones de trabajo inseguras frecuentes\n• Cambios del nombre de la empresa frecuentes\n\nLa mayoría de las jurisdicciones limitan la recopilación de información sobre personas vivas, por lo tanto, solo los negocios deben ser incluidos en la lista negra. Al proporcionar información sobre un negocio o empresa a la lista negra, no se debe compartir ni proporcionar información personal. Usted es el único responsable de obtener las autorizaciones o consentimientos apropiados para el envío de datos a la plataforma <APPNAME>, incluyendo la difusión de cualquier política de privacidad y avisos aplicables a la recopilación, uso o almacenamiento de dichos datos. Usted es el único responsable de cualquier uso o divulgación posterior de la información cargada. Usted declara que ha obtenido la autorización apropiada, si procede, para la carga de esta información.\n\nUsted asume plena responsabilidad por el contenido y la distribución de la información proporcionada en el Software <APPNAME> y los servicios aplicables; y declara que el acceso, uso y distribución de dicha información cumple con todas las leyes aplicables a la privacidad y seguridad de los datos, y con cualquier otra ley, norma y reglamento de las autoridades gubernamentales que tengan jurisdicción.","La funcionalidad de lista negra / lista blanca le permite llevar un registro de <b>clientes con los que ya no desea hacer negocios.</b>La información limitada sobre los clientes que usted elija incluir en la lista negra puede estar disponible para otras empresas que utilicen <APPNAME>. Cualquier uso fuera de las siguientes razones es una violación de uso y puede resultar en que su empresa enfrente una o más de las siguientes: multas, recargos, cese de sus licencias <APPNAME> y acciones legales.\n\nEl uso aceptable de la lista negra se limita a las siguientes razones:\n\n• Falta de pago\n• Actividades poco éticas / ilegales\n• Condiciones de trabajo inseguras frecuentes\n• Cambios del nombre de la empresa frecuentes\n\nLa mayoría de las jurisdicciones limitan la recopilación de información sobre las personas, por lo tanto, solo deben incluirse en la lista negra a las empresas. Al proporcionar información sobre un negocio o empresa a la lista negra, no se debe compartir ni proporcionar información personal. Usted es el único responsable de obtener las autorizaciones o consentimientos apropiados para el envío de datos a la plataforma <APPNAME>, incluyendo la difusión de cualquier política de privacidad y avisos aplicables a la recopilación, uso o almacenamiento de dichos datos.  Usted asume la responsabilidad de cualquier uso o divulgación posterior de la información cargada. Usted declara que ha obtenido la autorización apropiada, si corresponde, para la carga de esta información.\n\nUsted asume plena responsabilidad por el contenido y la distribución de la información proporcionada en el Software <APPNAME> y los Servicios aplicables, y declara que su acceso, uso y distribución de dicha información cumple con todas las leyes aplicables a la privacidad y seguridad de datos, y con cualquier otra ley, norma y reglamento de las autoridades gubernamentales que tengan jurisdicción."
"i agree","Estoy de acuerdo",""
"i do not agree","No estoy de acuerdo",""
"bl wl terms of use title","Condiciones de uso Lista negra / Lista blanca",""
"confirm cust blacklist","¿Está seguro de que desea incluir a este cliente en la lista negra?\n\nHacerlo activará una advertencia la próxima vez que se ingrese este nombre de cliente, número de teléfono, dirección o correo electrónico en un nuevo cliente, y bloqueará inmediatamente todas las nuevas cotizaciones, trabajos u OT para este cliente.\n\nNOTA: Esto agregará a dicho cliente al registro global de listas negras de <APPNAME>.","¿Está seguro de que desea incluir a este cliente en la lista negra?\n\nHacerlo activará una advertencia la próxima vez que se ingrese este nombre de cliente, número de teléfono, dirección o correo electrónico en un nuevo cliente, y bloqueará inmediatamente todas las nuevas cotizaciones, trabajos u OT para este cliente.\n\nNOTA:  Al hacerlo, este cliente ingresará al registro global de listas negras de <APPNAME>."
"blacklist reason","Motivo del registro en la lista negra",""
"lack of pmt","Falta de pago",""
"unethical/illegal activites","Actividades poco éticas / ilegales",""
"unsafe work conditions","Condiciones de trabajo inseguras frecuen.",""
"business name changes","Cambios del nombre de la empresa frecuen.",""
"bl cust explanation","Explicación (NOTA: Puede ser vista por otras empresas que utilicen <APPNAME>)",""
"must select bl reason","Debe seleccionar un motivo de la lista negra",""
"confirm","Confirmar",""
"confirm blacklist whitelisted cust","Este cliente está actualmente en la lista blanca. ¿Está seguro de que desea incluirlo en la lista negra? (Necesita la aprobación del administrador)",""
"cust already whitelisted","El cliente ya está en la lista blanca.",""
"cust already blacklisted","El cliente ya está en la lista negra",""
"confirm whitelist blacklisted cust","Este cliente está actualmente en la lista negra. ¿Está seguro de que desea incluirlo en la lista blanca? (Localmente)","Este cliente se encuentra actualmente en la lista negra. ¿Está seguro de que desea incluirlo en la lista blanca? (Localmente)"
"blacklist","Lista negra",""
"whitelist","Lista blanca",""
"freeze account","Congelar cuenta",""
"frozen","Congelada","Congelado"
"by","Por",""
"confirm freeze cust","¿Está seguro de que quiere congelar a este cliente?",""
"pref inv delivery","Pref. de envío de fact.",""
"no billing cont","No hay contactos seleccionados como 'Contacto de facturación' o el correo electrónico está vacío.\n\nPara que el envío de facturas por correo electrónico funcione correctamente, debe marcar al menos un contacto como "Contacto de facturación" Y debe introducir la dirección de correo electrónico","No hay contactos seleccionados como 'Contacto de facturación' o el correo electrónico está vacío.\n\nPara que el envío de facturas por correo electrónico funcione correctamente, debe marcar al menos un contacto como "Contacto de facturación" Y debe introducir su dirección de correo electrónico"
"billing cont email empty","Uno o más correos electrónicos de "Contacto de facturación" están vacíos.\n\nPara que el envío de facturas por correo electrónico funcione correctamente, debe marcar al menos un contacto como "Contacto de facturación" Y debe introducir la dirección de correo electrónico","Uno o más correos electrónicos de "Contacto de facturación" están vacíos.\n\nPara que el envío de facturas por correo electrónico funcione correctamente, debe marcar al menos un contacto como "Contacto de facturación" Y debe introducir su dirección de correo electrónico"
"dflt sales rep","Representante de ventas predet.",""
"no branch access","Usted no tiene acceso de seguridad a esta lower(<LBLBRANCH>).",""
"must specify primary branch","Debe especificar una lower(<LBLBRANCH>) primaria.",""
"displayed date & older","Fecha visualizada y más antigua",""
"displayed date only","Solo fecha visualizada",""
"filter date","Filtrar fecha",""
"must enter admin cred to proceed","Debe introducir un nombre de usuario / contraseña de administrador para continuar.","Debe ingresar un nombre de usuario / contraseña de administrador para continuar."
"login is not an admin","El inicio de sesión no es un admin.\n\nVerifique el nombre de usuario y la contraseña, e inténtelo de nuevo.","El inicio de sesión no es admin.\n\nVerifique el nombre de usuario y la contraseña. Luego, vuelva a intentarlo."
"confirm pwd to proceed","Confirme la contraseña para continuar",""
"requisition rqrd","Solicitud requerida",""
"history","Historia",""
"quote notification txt","Texto de notificación de cotización",""
"primary","Primaria",""
"could not get tax info","No se ha podido obtener información detallada de la dirección. Por favor, seleccione manualmente la tasa de impuestos","No se ha podido obtener información detallada de la dirección. Por favor, seleccione manualmente la tasa impositiva"
"ok2use","Listo para usar",""
"repairs done","Reparaciones realizadas",""
"flag needs repair","Marcar como Necesita Reparación",""
"on veh or eqp needs repair","Solo el soporte de inspección de vehículos/equipos necesita opciones de reparación.","Solo el soporte de inspección de vehículos / equipos necesita opciones de reparación."
"no repairs for insp","No se necesitan reparaciones para esta inspección.",""
"confirm ok2use","¿Está seguro de que desea desmarcar como Listo para usar?","¿Está seguro de que desea desmarcar Listo para usar?"
"confirm repairs done","¿Está seguro de que desea desmarcar como Reparaciones realizadas?","¿Está seguro de que desea desmarcar Reparaciones realizadas?"
"unflag","Desmarcar",""
"flagged by msg","Marcado por <NAME> el <DATE>",""
"cust portal","Portal del cliente",""
"qt sig msg","Mensaje de firma de cotización",""
"ft sig msg","Mensaje de firma de forma",""
"inv link msg","Mensaje de enlace de factura","Mensaje de enlace a la factura"
"codes with instructions","Códigos (haga clic para copiar)",""
"confirm restore dflt qt link","¿Restaurar la configuración predeterminada de los enlaces de cotización?","¿Restablecer la configuración predeterminada de los enlaces de cotización?"
"confirm restore dflt ft link","¿Restaurar la configuración predeterminada del enlace de la forma?","¿Restablecer la configuración predeterminada del enlace de la forma?"
"confirm restore dflt inv link","¿Restaurar la configuración predeterminada del enlace de factura?","¿Restablecer la configuración predeterminada del enlace de factura?"
"recieve alert","Recibir alerta",""
"ft sig link expires","El enlace de firma de forma caduca en horas (máximo de 166)",""
"branch logo instructions","Los logotipos deben tener un tamaño reducido (menos de 50 kb) para que se carguen rápidamente y deben medir aproximadamente 40px por 40 px. Utilice los formatos .jpg, .png, .bmp o .gif.","Los logotipos deben tener un tamaño reducido (menos de 50 kb) para que se carguen rápidamente y deben medir aproximadamente 40x40 px. Utilice los formatos .jpg, .png, .bmp o .gif."
"restore","Restaurar","Restablecer"
"approx char length","Aprox. <COUNT> Caracteres",""
"qt sig dflt msg","¡Bien! La cotización de <BRANCHNAME> está lista. Solo tiene que revisar y firmar la cotización haciendo clic en el enlace de abajo. ¡Es así de fácil! Si tiene alguna pregunta, póngase en contacto con su representante de ventas <SALESREPFULLNAME> @ <SALESREPCELL> o con nuestra oficina a <BRANCHPHONE>. Gracias por elegir <BRANCHNAME>.\n\n <SIGLINK>","¡Su presupuesto de <BRANCHNAME> está listo! Solo tiene que revisar y firmar el presupuesto haciendo clic en el enlace de abajo. ¡Es así de fácil! Si tiene alguna pregunta, contacte a su representante de ventas <SALESREPFULLNAME> @ <SALESREPCELL> o a nuestra oficina a <BRANCHPHONE>. Gracias por elegir <BRANCHNAME>.\n\n <SIGLINK>"
"ft sig dflt msg","<TECHFIRSTNAME> con <BRANCHNAME> envió un enlace para revisar y firmar por el trabajo realizado en <DATE>. Si tiene alguna pregunta, póngase en contacto con nuestra oficina en el <BRANCHPHONE>.Gracias por elegir <BRANCHNAME>.\n\nEste enlace caducará en <EXPIRESIN>.\n\n < SIGLINK>","<TECHFIRSTNAME> con <BRANCHNAME> envió un enlace para revisar y firmar por el trabajo realizado en <DATE>. Si tiene alguna pregunta, contacte a nuestra oficina en el <BRANCHPHONE>. Gracias por elegir <BRANCHNAME>.\n\n Este enlace caducará en <EXPIRESIN>.\n\n < SIGLINK>"
"inv sig dflt msg","La factura de <BRANCHNAME> está lista por un importe de <INVAMOUNT>. Haga clic en el siguiente enlace para ver la factura. Si tiene alguna pregunta, póngase en contacto con su representante de ventas <SALESREPFULLNAME> llamando al <SALESREPCELL> o con nuestra oficina al <BRANCHPHONE>. Gracias por elegir <BRANCHNAME>.\n\n <INVLINK>","Su factura de <BRANCHNAME> por un importe de <INVAMOUNT> está lista. Haga clic en el siguiente enlace para ver la factura. Si tiene alguna pregunta, contacte a su representante de ventas <SALESREPFULLNAME> llamando al <SALESREPCELL> o a nuestra oficina al <BRANCHPHONE>. Gracias por elegir <BRANCHNAME>.\n\n <INVLINK>"
"job and report options","Configuración de clientes y trabajos",""
"purch type","Tipo de compras",""
"toll permit","Número de autorización",""
"vehic gvw","Peso bruto vehicular",""
"veh no","Núm. de vehículo",""
"vin","VIN",""
"lic plate","Placa de circulación",""
"dflt assignment","Asignación por defecto",""
"define vehicle","Definir vehículo",""
"nick name","Nombre",""
"make","Marca",""
"model","Modelo",""
"last odom","Último odómetro",""
"can have inventory","Puede tener inventario",""
"engine","Motor",""
"lic tax due","Impuesto de licencia adeudado",""
"transmission","Transmisión",""
"fuel","Combustible",""
"purch price","Precio de compra",""
"purch date","Fecha de compra",""
"purch from","Comprado en","Adquirido en"
"warranty exp","Expiración de garantía","Vencimiento de garantía"
"job costing","Costo del trabajo","Cálculo del coste del trabajo"
"find vehicle","Buscar vehículo",""
"per mile","Por milla",""
"per trav hour","Por hora de viaje",""
"per ft hour","Por hora de forma",""
"must specify a branch","Debe especificar una lower(<LBLBRANCH>)",""
"must specify veh number","Debe especificar un número de vehículo.",""
"confirm delete veh","¿Está seguro de que desea eliminar este vehículo?",""
"vehicle tracking","Seguimiento de vehículos",""
"unit id","ID de la unidad","Identificación de la unidad"
"extra pay per hour","Pago extra por hora",""
"pay driver extra","Pagar extra al conductor","Pagar más al conductor"
"unrate","No califica",""
"wo cannot exeed 24 hr","Las órdenes de trabajo no pueden exceder las 24 horas. Si se completaron más de 24 horas de trabajo, por favor cree una segunda orden de trabajo.",""
"reports","Informes",""
"ar","C/C",""
"list management","Gestión de listas",""
"tools","Herramientas",""
"data utilities","Servicios de datos","Utilidades de datos"
"repeat work order","Repetir orden de trabajo",""
"login takes a license","Inicio de sesión (requiere licencia)",""
"ft just signed by","FT firmado por: <NAME>",""
"select days to repeat wo","Seleccionar días para repetir O.T.",""
"cod just paid","Pago contra entrega para: <AMT> recibido.",""
"skip every","Saltar cada",""
"selected","Seleccionado",""
"cust flds","Campos pers.",""
"applying update","Aplicando la actualización",""
"reload custom flds","Volver a cargar campos pers.",""
"translate","Traducir",""
"not available in free version","Esta función no está disponible en la versión gratuita",""
"translating","Traducción en curso",""
"invalid date","Fecha no válida",""
"paid versions only","Sólo versiones de pago","Solo versiones de pago"
"lite ver and above","Sólo versiones Lite y superiores","Solo versiones Lite y superiores"
"full version only","Sólo versión Pro","Solo versión Pro"
"can only add 1 contact on free version, delete previous","Sólo puede añadir 1 contacto en la versión gratuita. ¿Desea eliminar el contacto actual (<NAME>)?","Solo puede añadir 1 contacto en la versión gratuita. ¿Desea eliminar el contacto actual (<NAME>)?"
"feature only avail in full version","Esta función sólo está disponible en la versión Pro.","Esta función solo está disponible en la versión Pro."
"cust sig link sent","Enlace de firma personalizada enviado",""
"text to translate","Texto para traducir",""
"copy to clipboard","Copiar al portapapeles",""
"copied to clipboard","Copiado al portapapeles",""
"must enter txt to translate","Debe introducir texto para traducir",""
"repeat wo","Repetir O.T.",""
"select days to repeat wo","Seleccionar días para repetir O.T.",""
"dow","DOW",""
"change all wo tech after date","¿Quiere cambiar también todas las O.T. después de <DATE> a <TECH>?",""
"tech not scheduled to work","Técnico no programado para trabajar",""
"conflicting job found","Trabajo en conflicto encontrado",""
"orig wo must be selected","Es la fecha de la orden de trabajo de origen y debe seleccionarse.",""
"wo cannot be selected","Esta O.T. no puede ser seleccionada.\nMotivo: <MOTIVO>\n¿Desea asignarla de todos modos?",""
"repeated wo message","<CUENTA> Se crearán órdenes de trabajo repetidas cuando pulse "OK" en el formulario "Programar orden de trabajo".",""
"must select lead tech","Primero debe seleccionar un técnico principal",""
"background","Antecedentes",""
"save image","Guardar imagen",""
"get a new picture","Obtener una nueva imagen",""
"addl wo","O.T. adicional",""
"data push","Empuje de datos","Envío de datos"
"quickbooks online","QuickBooks® en línea",""
"data push to","Empuje de datos a <ACCTSYS>","Envío de datos a <ACCTSYS>"
"back","Volver",""
"qbonline push instruct","Esto le guiará a través del empuje de datos de <APPNAME> a Quickbooks\nSeleccione la lower(<LBLBRANCH>) y luego haga clic en "Siguiente" para continuar.","Esto lo guiará a través del envío de datos de <APPNAME> a Quickbooks\nSeleccione la lower(<LBLBRANCH>) y luego haga clic en “Siguiente” para continuar."
"reset qb authentication","Reiniciar autentificación de QB",""
"addl wo number greater than 0","Las O.T. adicionales deben ser mayores que 0",""
"select days to repeat errand","Seleccionar días para repetir la tarea",""
"start date must be before end date","La fecha de inicio debe ser anterior a la fecha de finalización",""
"connection reset","Restablecimiento de la conexión",""
"connecting to qb","Conectando a QuickBooks\nPor favor, espere…\nNota: Esto puede tardar unos minutos",""
"addl wos","O.T. adicionales",""
"originating type","Originando <TYPE>",""
"errands","Tareas",""
"send text","Enviar un texto",""
"confirm delete errand","Esto borrará permanentemente el registro de Entrada/Salida asociado a esta tarea.\n\n¿Está seguro de que desea borrar esta tarea?",""
"text message","Mensaje de texto",""
"time associated with errand delete abort","Hay tiempo asociado a este recado. Debe eliminar el tiempo antes de poder borrar esta tarea.","Hay tiempo asociado a esta tarea. Debe eliminar el tiempo antes de poder borrar esta tarea."
"text to","A",""
"errand id","ID de la tarea",""
"sms","SMS",""
"find errand","Buscar tarea",""
"mms","MMS",""
"send text as","Enviar texto como",""
"text message sent","¡Mensaje de texto enviado!",""
"must enter text message","Debe introducir el cuerpo del mensaje de texto para enviarlo","Debe ingresar el cuerpo del mensaje de texto para enviarlo"
"new text message","Nuevo mensaje de texto",""
"must enter phone number","Debe introducir el número de teléfono para enviar el mensaje de texto","Debe ingresar el número de teléfono para enviar el mensaje de texto"
"clear all","Borrar todo",""
"random unsplash image","Aleatorio – por Unsplash",""
"sign in to qb online","Por favor, ingrese a QuickBooks Online para autorizar a <APPNAME> a conectarse a QuickBooks.",""
"confirm reset bg img","Actualmente tiene <TYPE> como fondo. ¿Está seguro de que desea restablecerlo?",""
"additional","Adicional",""
"bg theme color","Color del tema",""
"select user","Seleccionar usuario",""
"est time","Hora estimada",""
"est dist","Distancia estimada",""
"set export options","Establecer opciones de exportación",""
"push type","Tipo de empuje","Tipo de envío"
"push through date","Fecha de finalización",""
"transaction date","Fecha de la transacción",""
"one sales line item","Una partida de ventas",""
"gl line items","Partidas GL",""
"push app data through","Empujar los datos de <APPNAME>","Enviar los datos de <APPNAME>"
"use app inv no in qb","Utilizar el número de inventario de <APPNAME> en QB",""
"set nontaxable inv in qb as","Establecer inventario sin impuestos en QB como",""
"create with date of","Crear con fecha de",""
"data to push","Datos a empujar","Datos a enviar"
"export app invoice data","Exportar datos de facturas de <APPNAME>",""
"export app addl charges","Exportar cargos adicionales de <APPNAME>",""
"addl charges","Cargos adicionales",""
"export app payment data","Exportar datos de pago de <APPNAME>",""
"export app payment cc data","Exportar datos de pago de <APPNAME> CC",""
"cc payments","Pagos de CC",""
"apply cenpoint payments from surplus","Aplicar los pagos de <APPNAME> de los excedentes",""
"export app refund data","Exportar datos de reembolso de <APPNAME>",""
"refunds","Reembolsos",""
"refund","Reembolso",""
"export app adjustment data","Exportar datos de ajustes de <APPNAME>",""
"adjustments","Ajustes",""
"nothing to print","No hay nada para imprimir.","No hay nada que imprimir"
"enter payments and adjustments","Introducir pagos y ajustes",""
"initial setup","Configuración inicial",""
"dispatching","Despachando",""
"quoting","Cotizando",""
"add a quote","Añadir un Presupuesto","Agregar un Presupuesto"
"digital signatures","Firmas digitales",""
"price a field ticket","Precio de una entrada de campo",""
"change search on next screen to find fts to price","Cambie el desplegable de búsqueda en la siguiente pantalla para encontrar las entradas de campo que necesitan ser tasadas.",""
"schedule sales rep to go on site","Programe la visita del S.R. al lugar",""
"atp has been signed by","Esta autentificación para proceder ya ha sido firmada por",""
"summary","Resumen",""
"website","Resumen",""
"click finish to export app data","Haga clic en "Finalizar" para exportar los datos de <APPNAME>.",""
"cust sig link opened","Enlace abierto por el cliente",""
"finish","Finalizar",""
"exclude http/https","Terminar",""
"must select at least 1 item to export","Debe seleccionar al menos un elemento para exportar.",""
"validating acctsys cust","Validando clientes <ACCTSYS>\nPor favor, espere…",""
"make checks payable to","Haga los cheques pagaderos a",""
"datapush complete","Datapush completado",""
"datapush complete errors encountered","Datapush completado (pero se han encontrado errores)",""
"had errors","tenía errores",""
"min job charge","Cargo mínimo por trabajo",""
"mobile settings","Ajustes móviles",""
