lbl,dflt
"i agree","Eu concordo"
"i do not agree","Eu não concordo"
"bl wl terms of use title","Lista negra / Termos de uso da lista branca"
"confirm cust blacklist","Você tem certeza de que quer colocar este cliente na lista negra?\n\nIsto irá gerar um aviso na próxima vez que o nome, número de telefone, endereço ou e-mail deste cliente for inserido em um novo cliente e irá bloquear imediatamente todas as novas cotações, empregos ou OPs para este cliente.\n\nNOTA: Isto adicionará este cliente ao registro global da lista negra da <APPNAME>."
"blacklist reason","Razão da lista negra"
"lack of pmt","Falta de pagamento"
"unethical/illegal activites","Atividades antiéticas / Ilegais"
"unsafe work conditions","Freq. Condições de trabalho inseguras"
"business name changes","Freq. Mudança de nome comercial"
"bl cust explanation","Explicação (NOTA: Pode ser visto por outras empresas usando o <APPNAME>)"
"must select bl reason","Você deve selecionar uma razão na lista negra"
"confirm","Confirme"
"confirm blacklist whitelisted cust","Este cliente está atualmente na lista branca. Você tem certeza de que quer colocá-los na lista negra? (Necessita aprovação da Administração)"
"cust already whitelisted","O cliente já está na lista branca."
"cust already blacklisted","O cliente já está na lista negra"
"confirm whitelist blacklisted cust","Este cliente está atualmente na lista negra. Você tem certeza de que quer fazer uma lista branca? (Localmente)"
"blacklist","Colocar na lista negra"
"whitelist","Lista branca"
"freeze account","Conta congelada"
"frozen","Congelados"
"by","Por"
"confirm freeze cust","Você tem certeza de que quer congelar este cliente?"
"pref inv delivery","Pref. Entrega de Inv."
"no billing cont","Nenhum contato selecionado como 'Contato de cobrança' ou e-mail está vazio.\n\nPara que o e-mail da fatura funcione corretamente, você deve marcar pelo menos um contato como 'Contato de Faturamento' E digitar seu endereço de e-mail"
"billing cont email empty","Um ou mais e-mails de 'Contato para Faturamento' estão vazios.\n\nPara que o e-mail da fatura funcione corretamente, você deve marcar pelo menos um contato como 'Contato de Faturamento' E digitar seu endereço de e-mail"
"dflt sales rep","Dflt. Representante de Vendas"
"no branch access","Você não tem acesso de segurança a este lower(<LBLBRANCH>)."
"must specify primary branch","Você deve especificar um lower(<LBLBRANCH>) primário."
"displayed date & older","Data Exibida & Mais Antigo"
"displayed date only","Apenas Data Exibida"
"filter date","Data do filtro"
"must enter admin cred to proceed","Você deve digitar um nome de usuário / senha administrativa para prosseguir."
"login is not an admin","O login não é um administrador.\n\nVerifique o nome de usuário e a senha, depois tente novamente."
"confirm pwd to proceed","Confirmar Senha para Proceder"
"requisition rqrd","Requisito"
"history","História"
"quote notification txt","Texto de notificação de citação"
"primary","Primário"
"could not get tax info","Não foi possível obter informações detalhadas sobre o endereço. Favor selecionar manualmente a taxa de imposto"
"ok2use","Ok Para usar"
"repairs done","Reparações feitas"
"flag needs repair","Bandeira precisa de reparo"
"on veh or eqp needs repair","Somente o suporte de inspeção de veículos/equipamentos necessita de opções de reparo."
"no repairs for insp","Não há necessidade de reparos para esta inspeção."
"confirm ok2use","Você tem certeza de que quer desmarcar como Ok To Use?"
"confirm repairs done","Você tem certeza de que quer desmarcar como reparações feitas?"
"unflag","Unflag"
"flagged by msg","Marcado por <NAME> em <DATE>"
"cust portal","Cust. Portal"
"qt sig msg","Mensagem de Assinatura de Citação"
"ft sig msg","Mensagem de Assinatura FT"
"inv link msg","Mensagem de link de fatura"
"codes with instructions","Códigos (clique para copiar)"
"confirm restore dflt qt link","Restaurar as configurações padrão do link de cotação?"
"confirm restore dflt ft link","Restaurar as configurações padrão do link de campo do bilhete?"
"confirm restore dflt inv link","Restaurar as configurações padrão do link da fatura?"
"recieve alert","Receber Alerta"
"ft sig link expires","FT Sig Link expira em Hrs (máx. de 166)"
"branch logo instructions","Os logotipos devem ser pequenos em tamanho (menos de 50 kb) a fim de carregar rapidamente e devem ser aproximadamente 40px por 40 px. Use o formato .jpg, .png, .bmp, ou .gif."
"restore","Restaurar"
"approx char length","Aprox. <COUNT> Carros."
"qt sig dflt msg","Wahoo! Sua cotação de <BRANCHNAME> está pronta. Basta rever e assinar a cotação clicando no link abaixo. É fácil assim! Se você tiver alguma dúvida, entre em contato com seu representante de vendas <SALESREPFULLNAME> @ <SALESREPCELLL>ou nosso escritório @ <BRANCHPHONE>. Obrigado por escolher <BRANCHNAME>.\n\n<SIGLINK>"
"ft sig dflt msg","<TECHFIRSTNAME> com <BRANCHNAME> enviou um link para revisar e assinar o trabalho realizado em <DATE>. Se você tiver alguma dúvida, entre em contato com nosso escritório em <BRANCHPHONE>.Obrigado por escolher <BRANCHNAME>.\n\nEste link expirará em <EXPIRESIN>\n\n<SIGLINK>"
"inv sig dflt msg","Sua fatura de <BRANCHNAME> está pronta no valor de <INVAMOUNT>. Clique no link abaixo para visualizar a fatura. Se você tiver alguma dúvida, entre em contato com seu representante de vendas <SALESREPFULLNAME>@ <SALESREPCELL> ou com nosso escritório @ <BRANCHPHONE>. Obrigado por escolher <BRANCHNAME>.\n\n<INVLINK>"
"job and report options","Configurações do cliente e do trabalho"
"purch type","Compras. Tipo"
"toll permit","Licença de pedágio"
"vehic gvw","GVW"
"veh no","Veh No."
"vin","VIN"
"lic plate","Placa de licença"
"dflt assignment","Atribuição por padrão"
"define vehicle","Definir veículo"
"nick name","Nome Nick"
"make","Faça"
"model","Modelo"
"last odom","Último Odom."
"can have inventory","Pode Ter Inventário"
"engine","Motor"
"lic tax due","Lic. Imposto devido"
"transmission","Transmissão"
"fuel","Combustível"
"purch price","Compras. Preço"
"purch date","Compras. Data"
"purch from","Compras. De"
"warranty exp","Garantia Exp."
"job costing","Cálculo de custos do trabalho"
"find vehicle","Encontrar veículo"
"per mile","Por milha"
"per trav hour","Por Trav. Hora"
"per ft hour","Por hora de FT"
"must specify a branch","Você deve especificar uma lower(<LBLBRANCH>)"
"must specify veh number","Você deve especificar um número de veículo."
"confirm delete veh","Você tem certeza de que quer apagar este veículo?"
"vehicle tracking","Rastreamento de veículos"
"unit id","Identificação da unidade"
"extra pay per hour","Pagamento Extra por Hora"
"pay driver extra","Motorista Pagador Extra"
"unrate","Unrate"
"wo cannot exeed 24 hr","Se mais de 24 horas de trabalho foram completadas, por favor, crie uma segunda Ordem de Trabalho."
"reports","Relatórios"
"ar","A/R"
"list management","Gerenciamento de listas"
"tools","Ferramentas"
"data utilities","Utilitários de dados"
"repeat work order","Repetição da Ordem de Trabalho"
"login takes a license","Login (Toma uma Licença)"
"ft just signed by","FT acaba de ser assinada por: <NAME>"
"select days to repeat wo","Selecione Days to Repeat W.O."
"cod just paid","Pagamento de COD para: <AMT> recebido."
"skip every","Pular Todos"
"selected","Selecionado"
"cust flds","Cust. Flds."
"applying update","Aplicando a atualização"
"reload custom flds","Recarregar Flds personalizados."
"translate","Traduzir"
"not available in free version","Esta característica não está disponível na versão gratuita"
"translating","Traduzindo"
"invalid date","Data inválida"
"paid versions only","Apenas versões pagas"
"lite ver and above","Somente versões Lite e acima"
"full version only","Somente versão Pro"
"can only add 1 contact on free version, delete previous","Você só pode adicionar 1 contato na versão gratuita. Você deseja excluir o contato atual (<NAME>)?"
"feature only avail in full version","Esta característica só está disponível na versão Pro."
"cust sig link sent","Cust. Sig. Link Enviado"
"text to translate","Texto a ser traduzido"
"copy to clipboard","Cópia para prancheta"
"copied to clipboard","Copiado para prancheta"
"must enter txt to translate","Você deve digitar o texto para traduzir"
"repeat wo","Repita W.O."
"select days to repeat wo","Selecione Days To Repeat W.O."
"dow","DOW"
"change all wo tech after date","Você gostaria de mudar todas as OMA após <DATE> para <TECH> também?"
"tech not scheduled to work","Técnica não programada para o trabalho"
"conflicting job found","Trabalho Conflituoso Encontrado"
"orig wo must be selected","Esta é a data da ordem de trabalho de origem e deve ser selecionada."
"wo cannot be selected","Esta OMA não pode ser selecionada.\nMotivo: <RAZÃO>\nVocê gostaria de atribuí-lo de qualquer maneira?"
"repeated wo message","<COUNT> Ordem(ões) de trabalho repetida(s) será(ão) criada(s) quando você clicar em 'OK' no formulário 'Programar Ordem de Trabalho'."
"must select lead tech","Primeiro você deve selecionar uma tecnologia líder"
"background","Antecedentes"
"save image","Salvar imagem"
"get a new picture","Obtenha uma nova imagem"
"addl wo","Addl WO"
"data push","Empurrão de dados"
"quickbooks online","QuickBooks® Online"
"data push to","Empurrar dados para <ACCTSYS>."
"back","Voltar"
"qbonline push instruct","Isto o guiará a empurrar os dados do <APPNAME> para Quickbooks\nSelecione a lower(<LBLBRANCH>) e depois clique em 'Próximo' para continuar."
"reset qb authentication","Reinicializar QB Auth."
"addl wo number greater than 0","As OdT adicionais devem ser maiores que 0"
"select days to repeat errand","Selecione dias para repetir o erro"
"start date must be before end date","A data de início deve ser antes da data de término"
"connection reset","Reinicialização da conexão"
"connecting to qb","Conexão com QuickBooks\nPor favor, espere...\nNota: Isto pode demorar alguns minutos."
"addl wos","Addl't WO's"
"originating type","Originário <TIPO>"
"errands","Erros"
"send text","Enviar um texto"
"confirm delete errand","Isto irá excluir permanentemente o registro de Entrada/Saída associado a este Erro.\n\nTem certeza de que deseja excluir este Erro?"
"text message","Mensagem de texto"
"time associated with errand delete abort","Há tempo associado a este Erro. Você deve remover o tempo antes de poder excluir este erro."
"text to","Para"
"errand id","Erro ID"
"sms","SMS"
"find errand","Encontrar Erro"
"mms","MMS"
"send text as","Enviar texto como"
"text message sent","Mensagem de texto enviada!"
"must enter text message","É necessário introduzir o corpo da mensagem de texto para enviar"
"new text message","Nova mensagem de texto"
"must enter phone number","É necessário introduzir o número de telefone para enviar uma mensagem de texto"
"clear all","Limpar tudo"
"random unsplash image","Aleatório - Powered by Unsplash"
"sign in to qb online","Faça login no QuickBooks Online para autorizar o <APPNAME> a se conectar ao QuickBooks."
"confirm reset bg img","Actualmente, tem <TYPE> como fundo. Tem a certeza de que o quer repor?"
"additional","Adicional"
"bg theme color","Cor do tema"
"select user","Seleccionar utilizador"
"est time","Est. Tempo"
"est dist","Est. Dist."
"set export options","Definir opções de exportação"
"push type","Tipo de impulso"
"push through date","Data de fecho"
"transaction date","Data da transacção"
"one sales line item","Um item de linha de vendas"
"gl line items","Itens de linha GL"
"push app data through","Enviar dados do <APPNAME>"
"use app inv no in qb","Utilizar o nº de inv. do <APPNAME> no QB"
"set nontaxable inv in qb as","Definir inv. não tributável em QB como"
"create with date of","Criar com data de"
"data to push","Dados a enviar"
"export app invoice data","Exportar dados de facturas <APPNAME>"
"export app addl charges","Exportação <APPNAME> Encargos adicionais"
"addl charges","Encargos adicionais"
"export app payment data","Exportar dados de pagamento <APPNAME>"
"export app payment cc data","Exportar dados de pagamento do <APPNAME> CC"
"cc payments","Pagamentos CC"
"apply cenpoint payments from surplus","Aplicar pagamentos <APPNAME> a partir de excedentes"
"export app refund data","Exportar dados de reembolso do <APPNAME>"
"refunds","Reembolsos"
"refund","Reembolso"
"export app adjustment data","Exportar dados de ajuste do <APPNAME>"
"adjustments","Menos"
"nothing to print","Nada para imprimir."
"enter payments and adjustments","Entrar pagamentos e ajustes"
"initial setup","Configuração inicial"
"dispatching","Expedição"
"quoting","Citações"
"add a quote","Adicionar um Citação"
"digital signatures","Assinaturas digitais"
"price a field ticket","Preço de um bilhete de campo"
"change search on next screen to find fts to price","Altere o menu suspenso Pesquisar no ecrã seguinte para encontrar os bilhetes de campo que precisam de ser avaliados."
"schedule sales rep to go on site","Agendar S.R. para ir ao local"
"atp has been signed by","Esta Auth. To Proceed já foi assinada por"
"summary","Resumo"
"website","Resumo"
"click finish to export app data","Clique em "Concluir" para exportar os dados do <APPNAME>."
"cust sig link opened","Ligação aberta pelo cliente"
"finish","Acabamento"
"exclude http/https","Terminar"
"must select at least 1 item to export","É necessário seleccionar pelo menos um item para exportar."
"validating acctsys cust","Validação de clientes <ACCTSYS\nAguarde..."
"make checks payable to","Cheques a pagar a"
"datapush complete","Datapush completo"
"datapush complete errors encountered","Descarga de dados concluída (mas foram encontrados erros)"
"had errors","tinha erros"
"min job charge","Taxa mínima de trabalho"
"mobile settings","Definições móveis"
"tech sched prev days","Calendário técnico Dias anteriores"
"tech only see wo flagged sent to tech","A tecnologia só vê as mensagens WO marcadas como "enviadas para a tecnologia"
"allow tech modify ft time","Permitir que os técnicos modifiquem as horas do cartão de ponto do FT"
"allow addl workers to complete safety","Permitir que os trabalhadores adicionais cumpram o requisito de segurança"
"allow tech to email ft","Permitir que os técnicos enviem e-mails para o FT"
"hide job entered from tech","Esconder quem entrou no trabalho a partir da tecnologia"
"show uncompleted wos","Mostrar OTs não concluídas"
"gps bread crumb freq","GPS Bread Crumb Freq."
"calc cod amount from wo tasks","Calcular o montante de CQO das tarefas WO (não do trabalho)"
"allow tech to price cod fts","Permitir que os técnicos estabeleçam o preço dos COD FT"
"1 sig when possible","Utilizar 1 Sig. Quando possível"
"job safety plan","Plano de segurança no trabalho"
"vehicle mileage rqrd","Quilometragem do veículo"
"ft sig","FT Sig"
"req pics per ft","Req. Fotos por FT"
"job site inspections","Inspecções do local de trabalho"
"assigned by app","Esta secção foi atribuída pelo <APPNAME>"
"auto texting","Mensagens de texto automáticas"
"auto send text message when tech clicks","Enviar automaticamente mensagens de texto ao cliente quando o técnico clica"
"do not send text if eta is over","Não enviar mensagens de texto se a hora prevista de chegada ao destino for superior"
"add to eta","Adicionar à ETA"
"confirm restore dflt auto text","Restaurar as definições predefinidas de mensagens de texto automáticas?"
"text default tech started msg","Óptimas notícias de <BRANCHNAME>. O nosso técnico está a caminho e deve chegar em cerca de <ETA>. Responda "Parar" para deixar de receber mensagens de texto."
"text default tech arrived msg","Atenção! <TECHFIRSTNAME> está agora no local. Pode ser contactado através do número <TECHCELL> se tiver alguma dúvida."
"text default tech departed msg","Estamos fora! Se tiver alguma dúvida ou preocupação, por favor contacte o nosso escritório em <BRANCHPHONE>. Obrigado por escolher <BRANCHNAME>!"
"0 = unlimited","(0=Ilimitado)"
"0 = off","(0=Desligado)"
"cust availability","Cust. Disponibilidade"
"make all cust avail at this branch from","Disponibilizar todos os clientes nesta <LBLBRANCH> a partir de"
"remove all cust from this branch","Remover todos os clientes desta <LBLBRANCH>"
"must specify branchname","Em primeiro lugar, é necessário especificar um nome de lower(<LBLBRANCH>)."
"saving please wait","A guardar.\nPor favor, aguarde...\n\nIsto pode demorar alguns minutos."
"confirm remove all cust","Tem a certeza de que pretende remover todos os clientes desta lower(<LBLBRANCH>)?"
"show est time on wo","Show Est. Hora na WO"
"show quote gen notes on wo","Mostrar notas gerais de cotação na WO"
"print auth to proc with ft","Imprimir Auth. Para prosseguir com o FT"
"itemize adjustments","Itemizar ajustes (nível de tarefa)"
"ft time","Tempo FT"
"auto make wo","Criar automaticamente WO para novos trabalhos (apenas adição rápida)"
"auto set wo color to","Definição automática da cor WO para"
"change color","Mudar de cor"
"auto unreview job when wo created after","Desrevisão automática da tarefa quando o WO é criado depois"
"job auto unreview hint","0 = Nunca anular a revisão"
"cod barrage notification","Activar os termos "Notificação de barragem"
"default state","<LBLSTATE> por defeito"
"specify invoice date","Especificar a data da factura"
"tech rev allocation","Técnica. Afectação de receitas"
"eeo","EEO"
"cert payroll","Certificado. Folha de pagamento"
"new cust inv","Novo Cust. Inv"
"non perform","Sem desempenho"
"statement","Declaração"
"itemized adj rcpt","Conta de ajuste detalhada"
"hide emtpy qa on qt, ft, inv","Ocultar Q/A vazia em Qoute, FT, Inv"
"new cust dflt terms","Novo cliente. Condições por defeito"
"apply to all","Aplicar\n Para todos"
"confirm apply all to dflt inv","Isto aplicará a factura predefinida de <NAME> a todos os clientes (novos e antigos).\n\n As alterações serão aplicadas imediatamente. Continuar?"
"confirm apply all to dflt cert","Isto irá aplicar o relatório de <NAME> a todos os trabalhos activos.\n\n As alterações serão aplicadas imediatamente e não podem ser desfeitas. Continuar?"
"yes apply","Sim, aplicar"
"printed ft terms and conditions","Termos e condições do FT impresso"
"also print on quote","Imprimir também no orçamento"
"message printed on inv and ft","Mensagem impressa nas facturas e nas notas de campo"
"schedule set msg","Mensagem de definição de horário"
"confirm restore dflt sched msg","Repor a mensagem de predefinição do horário?"
"sched set dflt msg","Óptimas notícias de <BRANCHNAME>. Temo-lo na agenda para <DATE>. Estamos estimando que <TECHFIRSTNAME> estará no local por volta de <STARTTIME>. Se tiver alguma dúvida ou precisar de reagendar, entre em contacto com o nosso escritório em <BRANCHPHONE>."
"job custom fields","Campos personalizados de trabalho"
"wo custom fields","Campos personalizados da ordem de serviço"
"status updates","Actualizações de estado"
"pick","escolher"
"links","Ligações"
"hide all","Ocultar tudo"
"show all","Mostrar tudo"
"show onsite only","Mostrar apenas no local"
"show travel only","Mostrar apenas viagens para o emprego"
"1 per job","1 por trabalho"
"1 per ft","1 por FT"
"1 per day","1 por dia"
"1 per week","1 por semana"
"every day","Todos os dias"
"every week","Todas as semanas"
"every 2 days","A cada 2 dias"
"1 per job per lead","1 por trabalho por contacto"
"1 per job per lead and addl","1 por trabalho, por contacto e todos os adicionais"
"1 per ft per lead","1 por FT por chumbo"
"1 per ft per lead and addl","1 por FT por chumbo e todos os adicionais"
"no allocation","Sem afectação"
"hourly by inv","Por hora Por Inv"
"by ft","Por FT"
"all techs equal","Todos os técnicos são iguais"
"stored rate for addlt workers","Taxa armazenada para trabalhadores adicionais"
"by job","Por Trabalho"
"validating required line items in acctsys","Validando itens de linha necessários em <ACCTSYS>.\nAguarde..."
"creating acctsys invoices","Criar facturas <ACCTSYS\n<CNT> de <TOT>\nAguardar..."
"sales rep scheduling","Programação de representantes de vendas"
"cannot open wo until day of","Inspecção(ões) do veículo detectada(s). Não é possível abrir uma OT antes do dia (ou dentro de algumas horas no caso de trabalho nocturno) para garantir a conclusão da inspecção do veículo.\n\nUtilize "Carregar o meu veículo" para ver as tarefas/notas para as próximas ordens de serviço."
"view (hide tabs)","Ver (Ocultar conteúdo do separador)"
"number must be above","O número deve ser superior a <NÚMERO>"
"turn on quick start instruc","Para voltar a activar o arranque rápido, vá a 'Menu' > 'Definições'"
"number must be below","O número deve ser inferior a <NÚMERO>"
"view log","Ver registo"
"creating acctsys addl","Criação de <ACCTSYS> Encargos Adicionais\n<CNT> de <TOT>\nAguarde..."
"data push report","Relatório de envio de dados"
"creating acctsys pmt","Criação de <ACCTSYS> Pagamentos\n<CNT> de <TOT>\nAguardar por favor..."
"creating acctsys pmt cc","Criar <ACCTSYS> Pagamentos CC\n<CNT> de <TOT>\nAguardar por favor..."
"creating acctsys adj","Criação de ajustes <ACCTSYS\n<CNT> de <TOT>\nAguarde..."
"creating acctsys refund","Criação de <ACCTSYS> Reembolsos\n<CNT> de <TOT>\nAguarde..."
"report parameters","Parâmetros do relatório"
"auth to proc sig","Auth. Para prosseguir Assinatura"
"more info","Mais informações"
"save to proceed msg","Esta função requer que os dados sejam guardados antes de continuar. Se prosseguir, todos os dados serão guardados."
"save to proceed","Isto guardará todas as suas alterações antes de continuar. Tem a certeza de que pretende continuar?"
"do not remind me again","Não me lembres mais"
"acct push info","Isto apresentará o registo DataPush (integração com o seu sistema de contabilidade) para o intervalo de datas seleccionado."
"aging link no invoices","Não há facturas pendentes. Obrigado."
"save and proceed","Guardar e prosseguir"
"accounting system","Sistema de contabilidade"
"confirm save","Confirmar Guardar"
"show detail on report","Mostrar detalhes no relatório"
"tip","Dica"
"push id","ID de envio"
"tran type","Tran. Tipo"
"tran qty","Tran. Quantidade"
"ref type","Ref. Tipo"
"pushed by","Empurrado por"
"before tax","Antes de impostos"
"delete push","Eliminar o envio <PUSHID>"
"confirm delete push","A eliminação de um impulso não pode ser anulada.\n\nSó deve proceder desta forma se pretender apagar permanentemente o impulso realçado."
"delete push important message","IMPORTANTE!\n\nTem de eliminar manualmente o impulso no seu sistema de contabilidade. Se não eliminar manualmente o impulso, o <APPNAME> ficará desequilibrado em relação ao seu sistema de contabilidade!\n\nNão se esqueça."
"info","Informações"
"finalized inv","<Finalized Inv."
"quickbooks","QuickBooks"
"dynamics gp","Dynamics GP"
"intacct","Intacct"
"sage 50 canadian","Sage 50 - Canadá"
"manual journal entries","Lançamentos manuais no diário"
"ccg systems","Sistemas CCG"
"atp changed and needs to refresh","A autorização para prosseguir foi alterada desde que carregou este ecrã. Clique em "OK" para actualizar e rever o novo documento antes de o assinar."
"confirm del job","Tem a certeza de que pretende eliminar o trabalho: <JOBNAME>?"
"view deleted","Ver Suprimido"
"atp changes not saved until send link or get sig","As alterações não são guardadas. Volte a enviar a ligação ou obtenha uma assinatura neste dispositivo para guardar as alterações."
"job has been deleted","Trabalho: <JOBSID> foi eliminado."
"job statuses","Status do trabalho"
"manage job statuses","Gerir o estado das tarefas"
"defined job statuses","Estatutos de trabalho definidos"
"cannot delete required status","Não é possível eliminar um estatuto obrigatório."
"confirm del job status","Tem a certeza de que pretende eliminar o estado do trabalho: <NOME> ?"
"manage job status","Gerir o estado da tarefa"
"status name","Estado Nome"
"show jobs with this status on scheduler","Mostrar tarefas com este estado na agenda em não atribuídas e incompletas"
"auto inactivate job when status is selected","Inactivar automaticamente a tarefa quando este estado é seleccionado"
"status means job was cancelled","Este estado significa que a tarefa foi cancelada"
"status means job was deleted","Este estado significa que a tarefa foi eliminada"
"use status when creating a new job","Usar este status ao criar um novo trabalho"
"use status when converting quote to job","Utilizar este estado ao converter a cotação em trabalho"
"use status when converting recurring job to job","Utilizar este estado ao converter trabalho recorrente em trabalho"
"job categories","Categorias de emprego"
"manage job categories","Gerir categorias de trabalho"
"defined job categories","Categorias de trabalho definidas"
"manage job category","Gerir Categoria profissional"
"default for all new jobs","Predefinição para todos os novos empregos"
"default for all converted quotes","Predefinição para todas as cotações convertidas"
"confirm del job category","Tem a certeza de que pretende eliminar a categoria de trabalho: <NOME> ?"
"quote dflt","Citação Dflt"
"view data push","Ver o envio de dados"
"paste lat long","Colar Lat, Long"
"paste","Colar"
"lat long not found in clipboard","Lat & Long não encontrados na área de transferência. Copie o lat / long e tente novamente"
"copy lat long","Copiar Lat, Long"
"set datapush switch over date","Definir a data de activação do DataPush do <APPNAME>"
"switch over instructions","<span style="font-size:17px;">Importante - Por favor, Leia</span><br /><br />Este utilitário único deve ser usado ANTES do seu primeiro <APPNAME> DataPush.<br /><br />Para evitar dados duplicados no seu software de contabilidade, você deve especificar uma data de "troca". Após esta data, as facturas só devem ser introduzidas no <APPNAME> (não devem ser introduzidas em duplicado no seu software de contabilidade).<br /><br />Após a data de "switch over", utilize a funcionalidade DataPush do <APPNAME> para enviar automaticamente facturas e pagamentos directamente para os sistemas de contabilidade aprovados e nunca mais introduza facturas ou pagamentos em duplicado!"
"switch over date","Data de transição"
"switch over date note 1","Para transferir todas as facturas <APPNAME> existentes, defina a data de transição para 01/01/2000."
"switch over date note 2","Todas as facturas anteriores à data de "transição" NÃO serão enviadas para o seu software de contabilidade para evitar duplicados!"
"switch over date note 3","Todos os pagamentos recebidos por facturas não enviadas para o seu software de contabilidade terão de ser introduzidos no <APPNAME> *E* no seu software de contabilidade."
"read and understand instructions","Li e compreendi estas instruções."
"confirm read switch over instructions","Confirme que leu e compreendeu as instruções de transferência."
"must set switch over date","É necessário seleccionar uma data de transição"
"switch over date cannot be in future","A data de transição não pode ser no futuro."
"verify switch over date","Verificar data!\n\nA <DATE> está correcta?\n\nNOTA: ISTO NÃO PODE SER ANULADO!"
"switch over date has not been set","Não foi fixada uma data de transição para este lower(<LBLBRANCH>). Isto é necessário. Gostaria de definir a data de transição agora?"
"set switch over date","Definir data de comutação"
"qbonline get cust instruct","Esta acção extrairá uma lista de clientes do QuickBooks Online e permitir-lhe-á especificar quais os clientes a importar para o <APPNAME>.\nSeleccione a lower(<LBLBRANCH>) para a qual pretende importar os clientes, decida se pretende manter ou eliminar os clientes existentes no <APPNAME> e, em seguida, clique em "Next" (Seguinte) para continuar."
"delete all app custs and replace them","Eliminar TODOS os clientes <APPNAME> da lower(<LBLBRANCH>) seleccionada e substituí-los por clientes de <ACCTSYS>"
"keep existing app cust and add from","Manter os clientes <APPNAME> existentes, apenas adicionar clientes de <ACCTSYS>"
"querying quickbooks","Consulta de <ACCTSYS>\nIsto pode demorar vários minutos sem qualquer indicador de progresso\nPor favor, aguarde..."
"select cust to import","Seleccionar clientes a importar"
"no customers to import","Não há clientes para importar."
"must select at least 1 cust to import","É necessário seleccionar pelo menos 1 cliente para importar."
"are you sure you want to delete all app cust and replace with","Tem a certeza de que pretende eliminar TODOS os clientes <APPNAME> actuais da lower(<LBLBRANCH>) seleccionada e substituí-los por clientes do <ACCTSYS>?"
"purging existing customers","Eliminação de clientes existentes\nAguarde..."
"new notification","Nova notificação"
"manual journal entry","Lançamento manual no diário"
"send push notification","Enviar uma notificação push"
"manpush instruct","Isto guiá-lo-á na transferência de dados do <APPNAME> para lançamentos manuais no diário\n\nNOTA: Na realidade, isto NÃO envia quaisquer dados para o seu sistema de contabilidade, mas fornece números para lançamentos manuais no diário.\n\nSeleccione o lower(<LBLBRANCH>) e, em seguida, clique em "Seguinte" para continuar."
"notification message","Mensagem de notificação"
"create fileext output file","Criar ficheiro de saída .<EXT>"
"push notif dialog","A caixa de diálogo que está prestes a ver destina-se a activar as notificações push do <APPNAME>. Isto inclui coisas como novas Ordens de Trabalho e Notificações de Reagendamento. Permitir"
"strongly recommended to print report cant print later","Recomenda-se vivamente a impressão do relatório que se segue. Não será possível reimprimi-lo mais tarde."
"failed to initialize push notif","Falha ao inicializar a mensagem de notificação por push. Não irá receber notificações."
"everything is already geo coded","Acabei de verificar e já está tudo codificado geograficamente. Que bom!"
"confirm disable push notif","Não pode receber notificações como novas ordens de trabalho ou notificações de reagendamento se não autorizar este serviço. Deseja continuar?"
"done geo coded results","Feito\n\nGeo Coeded: <CODED>\nIgnorado: <SKIPPED>"
"push notif enabled","Notificações push activadas"
"geo code customers","Código geográfico Clientes"
"push notif disabled","Notificações push desactivadas"
"geo bldr instruct","Este utilitário irá codificar geograficamente os clientes. Os clientes devem estar activos e ter um endereço válido para poderem ser codificados geograficamente. Este utilitário codificará geograficamente até <BLOCKSIZE> clientes de cada vez."
"failed to save notif token","Falha ao guardar o Token de Notificação. NÃO irá receber notificações do <APPNAME>."
"go","Ir"
"failed to delete notif token","Falha ao eliminar o Token de Notificação. Poderá receber notificações indesejadas do <APPNAME>."
"geo coding please wait","Codificação Geo\nPor favor, aguarde..."
"must select at least 1 user","É necessário seleccionar pelo menos 1 utilizador"
"creating manual journal entries","Criação de lançamentos manuais no diário\nAguarde..."
"push enabled","Empurrar activado"
"ref","Ref"
"push disabled msg","O utilizador não está configurado para aceitar notificações push! Peça ao utilizador para voltar a iniciar sessão na aplicação móvel."
"reference","Referência"
"confirm send tech sched set push","Enviar notificações push a todos os técnicos da lower(<LBLBRANCH>) <BRANCH> e assinalar as ordens de serviço como enviadas para os técnicos?"
"more","Mais"
"import from","Importar de <SOFTWARE>"
"csv file","arquivo .csv"
"only available on desktop","Esta funcionalidade só está disponível na aplicação para computador (apenas na versão Pro)"
"qbonline get inv instruct","Esta acção irá obter uma lista de facturas do QuickBooks Online e permitir-lhe-á especificar quais as facturas a importar para o <APPNAME>.\nSeleccione o lower(<LBLBRANCH>) para o qual pretende importar as facturas, decida se pretende manter ou eliminar as facturas existentes no <APPNAME> e, em seguida, clique em "Seguinte" para continuar."
"delete all app inv and replace them","Eliminar TODAS as facturas <APPNAME> da lower(<LBLBRANCH>) seleccionada e substituí-las por facturas de <ACCTSYS>"
"keep existing app inv and add from","Manter as facturas <APPNAME> existentes, apenas adicionar facturas de <ACCTSYS>"
"no invoices to import","Não há facturas para importar."
"must select at least 1 inv to import","É necessário seleccionar pelo menos uma factura para importar."
"are you sure you want to delete all app inv and replace with","Tem a certeza de que pretende eliminar TODAS as facturas <APPNAME> actuais do lower(<LBLBRANCH>) seleccionado e substituí-las por facturas do <ACCTSYS>?\n\nAs facturas com um pagamento NÃO serão eliminadas."
"select inv to import","Seleccionar facturas a importar"
"view skipped inv","Ver ignorado\n Inv"
